ID;title;description;content;item_from;item_type;item_source;permalink;tags;"ClassificaÁ„o da Obra";;"Tipo de Materia";"Ano de PublicaÁ„o";Autor;Ilustrador;Tradutor;EdiÁ„o;Editora;"SÈrie (ColeÁ„o)";"Local de PublicaÁ„o";ISBN/ISSN;"N˙mero de P·ginas";Resenha;Volume;PremiaÁ„o;Files
141;"Miss„o : assustar a irm„";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=141;;;;;;;;;;"Melhorament os";;;"85-06-03783-
2";;;;;
2498;"Ghaddar, o demÙnio e outros contos palestinos";"Autor: Nimr, SÙnia Shaw, Hannah Assis, …rico Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2498;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
628-8";;;;;;
2499;Famali·;;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2499;;;;;;;;;;Rovelle,;;;"978-85-8275-
032-2";|||;;;;;
2500;"O turbante da sabedoria e outras histÛrias de Nasrudin";"Autor: Brenman, Ilan Casal, Samuel Ano:  2008,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2500;;;;;;;;;;"Comboio de Corda,";;;"978-85-
60820-24-5";;;;;;
2501;"Ficar triste n„o È ruim: como a crianÁa pode enfrentar uma situaÁ„o de perda";"Autor: Mundy, Michaelene Alley, R. W
Calloni, Euclides L. Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2501;;;;;;;;;;Paulus,;;;"85-349-1759-
0";;;;;;
2502;"Conversa de passarinhos: haikais.";"Autor: Ruiz S., Alice Rezende, Maria ValÈria.
FÍ Ano:  2008,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2502;;;;;;;;;;Iluminuras;;;"978-85-7321-
289-1";||||;;;;;
2503;"Rita tem medo";"Autor: David, Christian Coelho, RogÈrio Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2503;;;;;;;;;;Abacatte,;;;"978-85-
62549-79-3";;;;;;
2504;"Um fio de prosa.";"Autor: Quintana, Mario Borges, RogÈrio Magalh„es, SÙnia Colasanti, Marina Orlando Hiratsuka, L˙cia Suppa
Martins, Cl·udio Mesquita, Camila Ramos, Cl·udio Spacca Munduruku, Daniel
Cascudo, LuÌs da C‚mara.
Queiroz, Rachel de. Colasanti, Marina.
Andrade, Carlos Drummond de.
Telles, Lygia Fagundes.
Meireles, CecÌlia Brand„o, Ign·cio de Loyola
Bandeira, Manuel, Coralina, Cora, Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2504;;;;;;;;;;Global;;;"85-260-0938-
9";||||;;;;;
2505;"A mulher que n„o sabia guardar segredos";"Autor: Brenman, Ilan Moriconi, Renato Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2505;;;;;;;;;;Abacatte,;;;"978-85-
62549-38-0";;;;;;
2506;"Pinguilim, voz de flautim";"Autor: Orthof, Sylvia Catani, Luiz Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2506;;;;;;;;;;"Nova Fronteira,";;;"978-85-209-
3609-2";||||;;;;;
2507;"O mapa do cÈu";"Autor: Rangel, Netto Edgar Manzi, Paulo Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2507;;;;;;;;;;FTD,;;;"85-322-1000-
7";;;;;;
2508;"pequenos contos para crescer: histÛrias tradicionais de muitos lugares";"Autor: Urbanet, Mario Revel, Sandrine Celija, Antoine GuilloppÈ, Antoine GuilloppÈ, Antoine Celija, Maja Celija, Maja Revel, Sandrine GuilloppÈ, Antoine Celija, Maja Ano:  2009,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2508;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
380-5";||||;;;;;
2509;"Os cabelos de Cris·lida";"Autor: Andrade, Emilie Ferreti, Eve Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2509;;;;;;;;;;SESI-SP,;;;"978-85-8205-
324-9";;;;;;
2510;"Estava escuro e estranhamente calmo";"Autor: Turkowski, Einar Bussius, Julia Ano:  2009,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2510;;;;;;;;;;"Cosac Naify,";;;"978-85-7503-
751-5";||||;;;;;
2511;"O meu primeiro Fernando Pessoa";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2511;;;;;;;;;;Leya,;;;"978-85-8044-
297-7";;;;;;
2512;"No paÌs dos quadrantis...";"Autor: L·beis, Carlos Portinari, Candido Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2512;;;;;;;;;;"Cosac Naify";;;"978-85-405-
0141-6";||||;;;;;
2513;"Em busca do ouro";"Autor: Gillot, Laurence Balez, Olivier
Abreu, Estela dos Santos Ano:  2009,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2513;;;;;;;;;;"Martins Fontes,";;;"978-85-
61635-15-2";;;;;;
2514;"As aventuras do Capit„o Pirata da Barba Verde";"Autor: Neufeld, Claudia Shigematsu, Maisa Tamaoki, Thais Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2514;;;;;;;;;;"Tordesilhinha s,";;;"978-85-8419-
009-6";|||;;;;;
2515;"Eu È um outro.";"Autor: Bernardi Jr., Hermes. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2515;;;;;;;;;;Edelbra;;;"978-85-
66470-59-8";;;;;;
2516;"Bibioteca???: uma biblioteca pode fazer milagres!";"Autor: Pauli, Lorenz Sch‰rer, Kathrin Sabino, JosÈ Feres Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2516;;;;;;;;;;"Brinque- Book,";;;"978-85-7412-
419-3";;;;;;
2517;"Os trÍs m˙sicos";"Autor: Massenot, VÈronique HiÈ, Vanessa
Doria, Maria Alice Sampaio Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2517;;;;;;;;;;"Melhorament os,";;;"978-85-06-
07387-2";|||;;;;;
2518;"Entre rios.";"Autor: Pellegrini, Domingos Õndigo
Freire, Marcelino Souza, M·rcio Silveira, Maria JosÈ
Rezende, Maria ValÈria Scliar, Moacyr Mello, Roger Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2518;;;;;;;;;;FTD;;;"978-85-322-
9249-0";;;;;;
2519;"CoraÁ„o esperto";"Autor: Souza, Angela Leite de Martins, Cl·udio Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2519;;;;;;;;;"5 ed.";"Nova Fronteira,";;;"978-85-209-
3633-7";;;;;;
2520;"Um conto quadrado e redondo";"Autor: Bergallo, Laura Carrosine, Camila Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2520;;;;;;;;;;"Escrita Fina,";;;"978-85-
63877-84-0";||||;;;;;
2521;"A volta ao mundo em 80 dias";"Autor: Verne, Jules Soleilhac, Aude
Machado, Luciano Vieira Jouvray, Anne-Claire Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2521;;;;;;;;;;Moderna,;;;"978-85-16-
07577-4";;;;;;
2522;"Frankenstein em quadrinhos.";"Autor: Borges, Taisa Shelley, Mary
Carvalho, M·rio Martins de. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2522;;;;;;;;;;Peirop√≥lis;;;"978-85-7596-
251-0";||||;;;;;
2523;"Procura-se uma sereia";"Autor: Bras, Luiz Camanho, Alexandre Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2523;;;;;;;;;;SESI-SP,;;;"978-85-8205-
274-7";;;;;;
2524;"O espet·culo";"Autor: Belinky, Tatiana Newlands, Mariana Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2524;;;;;;;;;;Saraiva,;;;"978-85-02-
16826-8";||||;;;;;
2525;"Juca e Chico: histÛria de dois meninos em sete travessuras";"Autor: Busch, Wilhelm. Bilac, Olavo Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2525;;;;;;;;;;"Editora Pulo de Gato";;;"978-85-
64974-26-5";;;;;;
2526;"Bobagens anÙnimas: um enigma para o exÈrcito do CondomÌnio PÈrola.";"Autor: Elme, Lauro Borges, RogÈrio. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2526;;;;;;;;;;"Aut√™ntica Editora";;;"978-85-8217-
332-9";||||;;;;;
2527;"Eros e Psique: a alma apaixonada.";"Autor: Carvalho, Carlos Alberto.
Nobre, Rafael. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2527;;;;;;;;;;Rovelle;;;"978-85-8275-
004-9";;;;;;
2528;"O gandula que comeu a bola: histÛrias e historinhas de futebol.";"Autor: Pimentel, LuÌs. Abu, Angelo. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2528;;;;;;;;;;Dimens√£o;;;"978-85-7319-
924-6";||||;;;;;
2529;"Signo de c‚ncer.";"Autor: Menezes, Silvana. Ano:  2009,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2529;;;;;;;;;;L√™;;;"978-85-329-
0725-7";;;;;;
2530;"O caderno vermelho da menina karateca";"Autor: Pessoa, Ana Carvalho, Bernardo. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2530;;;;;;;;;;SESI-SP;;;"978-85-8205-
231-0";||||;;;;;
2531;"Dias de meus dias: tempos de menino.";"Autor: Sales, JosÈ Batista de. Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2531;;;;;;;;;;ANEP;;;"978-85-
67196-00-8";|||||;;;;;
2532;"Contos e crÙnicas para ler na escola - Nei Lopes";"Autor: Lopes, Nei. Parreiras, Ninfa Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2532;;;;;;;;;;Objetiva;;;"978-85-390-
0593-2";;;;;;
2533;"As sobrinhas da bruxa Onilda e  a roupa nova do rei";"Autor: Company, MercË Capdevila, Roser GonÁalves, Rita E. Garcia Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2533;;;;;;;;;;Scipione;;;"85-262-3184-
7";|||;;;;;
2534;"Por que o mar È salgado: contos populares da Noruega.";"Autor: Asbjornsen, Peter Christen Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2534;;;;;;;;;;"Berlendis & Vertecchia,";;;"978-85-7723-
062-4";||;;;;;
2535;"Avantesmas: 13 histÛrias cl·ssicas de fantasmas.";"Autor: Blanc, Claudio.
Maupassant, Guy de.
Kako.
Scott, Walter. Tchekhov, Anton. Songling, Pu.
Andreiev, Leonid. Yeats, William Butler.
Fanu, Joseph Sheridan Le.
Doyle, Arthur Conan. Turgueniev, Ivan. Poe, Edgar Allan. France, Anatole. Lovecraft, H.P.
Stevenson, Robert Louis. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2535;;;;;;;;;;"Aut√™ntica Editora";;;"978-85-8217-
409-8";|;;;;;
2536;"Shakespeare e elas: cl·ssicos do grande bardo reescritos por elas.";"Autor: Barros, Lycia. Vieira, Janaina. Conrado, Laura Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2536;;;;;;;;;;"Aut√™ntica Editora";;;"978-85-8217-
331-2";|||||;;;;;
2537;"Uma histÛria de futebol.";"Autor: Torero, JosÈ Roberto. Loredano, C·ssio. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2537;;;;;;;;;"2. ed.";Alfaguara;;;"978-85-7962-
257-1";;;;;;
2538;"Cuore [CoraÁ„o]";"Autor: Amicis, Edmondo de. Rezende, Maria ValÈria Hazan, Daniel Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2538;;;;;;;;;;Aut√™ntica;;;"978-85-
65381-04-8";|||||;;;;;
2539;"Odisseia de Homero (segundo Jo„o VÌtor)";"Autor: Piqueira, Gustavo. Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2539;;;;;;;;;;"Editora Gaivota";;;"978-85-
64816-43-5";;;;;;
2540;"…dipo Rei";"Autor: Arag„o, JosÈ Carlos SÛfocles
Araujo, Daniel. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2540;;;;;;;;;;Paulinas;;;"978-85-356-
3671-0";||||;;;;;
2541;"A princesa da torre longa";"Autor: Andrade, Tiago de Melo.
Fiorese, Juliana. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2541;;;;;;;;;;"Editora Melhorament os";;;"978-85-06-
07585-2";;;;;;
2542;"Os rios morrem de sede";"Autor: Piroli, Wander Borges, RogÈrio Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2542;;;;;;;;;"16. ed.";Moderna,;;;"85-16-01032-
5";||||;;;;;
2543;"Para onde vamos È sempre ontem.";"Autor: Espinheira Filho, Ruy Cunha, Leo Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2543;;;;;;;;;;Positivo;;;"978-85-385-
8407-0";;;;;;
2544;FuturaÁıes;"Autor: Riter, Caio Gruzsynski, Ana Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2544;;;;;;;;;;"Editora Projeto";;;"978-85-8144-
011-8";|||;;;;;
2545;"Pantanal Mato-grossense";"Autor: Branco, Samuel Murgel Mariotto, Willian Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2545;;;;;;;;;;Moderna,;;;"978-85-16-
01645-5";;;;;;
2546;I;"Autor: Portes, Maxs Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2546;;;;;;;;;"2. ed.";Baob√°;;;"978-85-
66653-44-1";;;;;;
2547;"O menino que n„o gostava de tomar banho";"Autor: Almeida, Renato Paula de Bianco Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2547;;;;;;;;;;EdG,;;;"978-85-
87959-01-8";||||;;;;;
2548;"O retorno a N·rnia: o resgate do prÌncipe Caspian.";"Autor: Lewis, C.S. Armstrong, Matthew S. Ano:  2007,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2548;;;;;;;;;;"WMF Martins Fontes";;;"978-85-
60156-37-5";;;;;;
2549;"Amor perdidos e achados";"Autor: Alves, Janu·ria Cristina Magalh„es,  Sonia Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2549;;;;;;;;;;"Melhorament os,";;;"978-85-06-
07482-4";|||;;;;;
2550;"O mistÈrio da caverna da coruja vegetariana";"Autor: Brasil, Assis Verdolin Filho, Ferruccio Ano:  1989,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2550;;;;;;;;;;RHJ,;;;"85-7153-017-
3";;;;;;
2551;"O jogo de n„o jogar";"Autor: Ladeira, Julieta de Godoy Maia, Luiz Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2551;;;;;;;;;;"Atual Editora,";;;"85-7056-588-
7";|||;;;;;
2552;I;"Autor: Company, MercË Capdevila, Roser GonÁalves, Rita E. Garcia Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2552;;;;;;;;;;Scipione;;;"85-262-3185-
5";;;;;;
2553;Albert;"Autor: Goldin, Alberto Cardoni, Paolo Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2553;;;;;;;;;"2. ed.";"Berlendis & Vertecchia,";;;"978-85-
86387-19-3";;;;;;
2554;"Faca sem ponta, galinha sem pÈ";"Autor: Rocha, Ruth Ono, Walter Ano:  1983,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2554;;;;;;;;;;"Nova Fronteira,";;;;|||;;;;;
2555;"Viagem ao mundo da poesia";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2555;;;;;;;;;;"Fino Tra√ßo";;;"978-85-8054-
193-9";;;;;;
2556;"OfÌcios do tempo";"Autor: Galv„o, Donizete Lagni, Lindsey Rocha. Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2556;;;;;;;;;;Positivo;;;"978-85-385-
8408-7";;;;;;
2557;"Uuuuuu... um barulho estranho";"Autor: Iacocca, Liliana Alcy Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2557;;;;;;;;;;√Åtica,;;;"978-85-08-
04581-6";||||;;;;;
2558;"Melhores dias vir„o";"Autor: Nicolelis, Giselda Laporta Soud, RogÈrio Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2558;;;;;;;;;;Saraiva;;;"85-02-03918-
0";;;;;;
2559;"O Aeronauta";"Autor: Meireles, CecÌlia Barroso, Ivo Seffrin, AndrÈ Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2559;;;;;;;;;;Global;;;"978-85-260-
1896-9";|||;;;;;
2560;"JilÛ, um garoto em perigo";"Autor: Poletto, Marcio Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2560;;;;;;;;;;"Melhorament os,";;;"978-85-06-
04218-6";;;;;;
2561;"A estrela sobe";"Autor: Rebelo, Marques Ano:  1986,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2561;;;;;;;;;"9. ed.";"Nova Fronteira,";;;;;;;;;
2562;"O mistÈrio mora ao lado";"Autor: Nicolelis, Giselda Laporta Tenente, Paulo Ano:  2001,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2562;;;;;;;;;"7. ed.";Saraiva,;;;"978-85-02-
01879-5";||||;;;;;
2563;"Poemas de jardim: primeiro cat·logo de brincadeiras zoobot‚nicas poÈtico- ilustradas.";"Autor: Martins, PenÈlope MÛes, Tati Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2563;;;;;;;;;;Cortez;;;"978-85-249-
2153-7";;;;;;
2564;"O segundo para sempre";"Autor: Thompson, Colin Prieto, Heloisa Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2564;;;;;;;;;;Escarlate,;;;"978-85-
66357-94-3";|||;;;;;
2565;"O pequeno planeta perdido";"Autor: Ziraldo Ano:  1985,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2565;;;;;;;;;;"Melhorament os,";;;"85-2-469036-
4";;;;;;
2566;"Eu, Jean-Jacques Rousseau";"Autor: Chirouter, Edwige. Otero, Mayumi Telles, AndrÈ Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2566;;;;;;;;;;"Martins Fontes - selo Martins";;;"978-85-8063-
147-0";;;;;;
2567;"Golpe de vista";"Autor: Palaoro, V. J. Ramos, Cl·udia Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2567;;;;;;;;;;Atual,;;;"978-85-357-
0203-2";||||;;;;;
2568;"HistÛrias de reis e rainhas";"Autor: Grimm Tellaroli, Sergio
Mourrain, SÈbastien Gagnon, CÈcile BourriËre, Sylvain Muzi, Jean
Dufour, AmÈlie Balandras, …lodie Jonas, Anne Dufour, AmÈlie NoÎl, GeneviËve BourriËre, Sylvain Chatellard, Isabelle Grimm
Chatellard, Isabelle Fronty, AurÈlia Grimm
Keraval, Gwen Balandras, …lodie Jonas, Anne Fronty, AurÈliae Ano:  2010,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2568;;;;;;;;;;"Companhia das Letrinhas,";;;"978-85-7406-
427-7";;;;;;
2569;"Homem n„o chora";"Autor: Souza, Fl·vio de. Gelli, LetÌcia Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2569;;;;;;;;;;"Formato Editorial";;;"85-7208107-
0";||||;;;;;
2570;"O bichinho da MaÁ„";"Autor: Ziraldo Ano:  1982,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2570;;;;;;;;;;"Melhorament os";;;;;;;;;
2571;"Vida nos rios";"Autor: Jakievicius, MÙnica Reiners, FÈlix Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2571;;;;;;;;;;DCL,;;;"978-85-7338-
77-7";||||;;;;;
2572;"Ter ou n„o ter";"Autor: Cardoso, Luiz Claudio Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2572;;;;;;;;;;Rovelle,;;;"978-85-8275-
033-9";;;;;;
2573;"Aventuras do tio Mac·rio";"Autor: Besouchet, Lidia CarybÈ
Mour„o, Vera Ano:  1986,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2573;;;;;;;;;;"Nova Fronteira,";;;;|||;;;;;
2574;"Viravirou: uma histÛria de reciclagem.";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2574;;;;;;;;;;"Centro Esp√≠rita Allan Kardec - Depto Editorial";;;"85-87715-30-
5";;;;;;
2575;"Os cachorros vieram do espaÁo?";"Autor: Chamliam, Regina Alexandrino, Helena Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2575;;;;;;;;;;"Studio Nobel";;;"85-85445-25-
4";;;;;;
2576;"As laranjas iguais: contos";"Autor: FranÁa J˙nior, Oswaldo Ano:  1985,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2576;;;;;;;;;"4. ed.";"Nova Fronteira,";;;;|||;;;;;
2577;"A pulga e a daninha";"Autor: Mour„o, Pedro.
Ara˙jo, Ivan Baptista de Ara˙jo, Marcello Barreto de Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2577;;;;;;;;;;"Nova Fronteira,";;;;;;;;;
2578;"O tempo quase";"Autor: Schneider, Henrique Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2578;;;;;;;;;;L√™,;;;"978-85-329-
0789-9";;;;;;
2579;"A pulga e a Daninha";"Autor: Mour„o, Pedro.
Ara˙jo, Ivan Baptista de Ara˙jo, Marcello Barreto de Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2579;;;;;;;;;;"Nova Fronteira,";;;;||||;;;;;
2580;"Tem minhoca no caminho";"Autor: Orthof, Sylvia. Paludo, Elani Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2580;;;;;;;;;;"Editora Braga,";;;;;;;;;
2581;"Vampiros e outros sustos";"Autor: Rezende, Maria ValÈria Rubem Filho Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2581;;;;;;;;;;Dimens√£o,;;;"978-85-7319-
922-2";||||;;;;;
2582;"DiÛgenes, o homem-c„o";"Autor: Marchand, Yan Sorel, Vicent Telles, AndrÈ Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2582;;;;;;;;;;"Martins Fontes - selo Martins";;;"978-85-8063-
148-7";;;;;;
2583;"O menino quadradinho";"Autor: Ziraldo Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2583;;;;;;;;;"6. ed.";"Melhorament os,";;;"978-85-06-
01222-8";||||;;;;;
2584;"O pequeno planeta perdido";"Autor: Ziraldo Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2584;;;;;;;;;;"Melhorament os,";;;"978-85-06-
00933-2";;;;;;
2585;"Que raio de histÛria!";"Autor: Orthof, Sylvia Massarani, Mariana Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2585;;;;;;;;;;Ediouro;;;"85-00-82730-
0";||||;;;;;
2586;"Faca sem ponta, galinha sem pÈ";"Autor: Rocha, Ruth Ono, Walter Ano:  1983,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2586;;;;;;;;;;"Nova Fronteira,";;;;;;;;;
2587;"Segredos de um violino";"Autor: Carpinejar, FabrÌcio Pez, Ana Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2587;;;;;;;;;;Edelbra,;;;"978-85-
66470-53-6";|||;;;;;
2588;"A menina que aprendeu a voar";"Autor: Rocha, Ruth Graciano, JosÈ Roberto Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2588;;;;;;;;;"4. ed.";Salamandra,;;;;;;;;;
2589;"O terrÌvel bicho pap„o e outras histÛrias";"Autor: Robatto, Sonia Ono, Walter Ano:  1983,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2589;;;;;;;;;;"Nova Fronteira,";;;;;;;;;
2590;"Dois idiotas sentados cada qual no seu barril...";"Autor: Rocha, Ruth Jaguar Ano:  1983,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2590;;;;;;;;;"6. ed.";"Nova Fronteira,";;;;||||;;;;;
2591;"Lima Barreto por jovens leitores";"Autor: Freitas, Fernanda Amaro, Vagner Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2591;;;;;;;;;;Aut√™ntica;;;"978-85-8217-
370-1";;;;;;
2592;"O dia em que raimundo viu a luz do cÈu";"Autor: Portes, Maxs Mesquita, ThaÌs Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2592;;;;;;;;;;RHJ,;;;"978-85-7153-
340-0";||||;;;;;
2593;"Meia hora para mudar a minha vida";"Autor: Vieira, Alice Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2593;;;;;;;;;;Peir√≥polis;;;"978-85-7596-
361-6";;;;;;
2594;"Janelas de domingo";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2594;;;;;;;;;;Atual,;;;"978-85-357-
0239-3";||||;;;;;
2595;"DionÌsio Areopagita e o nome de Deus.";"Autor: Mongin, Jean Paul. HerbÈra, Ghislaine Telles, AndrÈ Ano:  2014,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2595;;;;;;;;;;"Martins Fontes - selo Martins";;;"978-85-8063-
146-3";;;;;;
2596;"Enquanto o mundo pega fogo";"Autor: Rocha, Ruth Ono, Walter Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2596;;;;;;;;;;"Nova Fronteira,";;;;||||;;;;;
2597;"As andorinhas turistas";"Autor: Iacocca, Liliana Iacocca, Michele Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2597;;;;;;;;;;√Åtica,;;;"85-08-04042-
8";;;;;;
2598;"Campos de morangos: uma histÛria sobre exploraÁ„o humana";"Autor: SaruÍ, Sandra Dias, Lais Ano:  2013,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=2598;;;;;;;;;;"Melhorament os,";;;"978-85-06-
07301-8";||||;;;;;
